,precision,recall,f1-score,support
batik_betawi,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
batik_bokor_kencono,0.8823529411764706,1.0,0.9375,15.0
batik_buketan,0.9375,1.0,0.967741935483871,15.0
batik_dayak,1.0,0.6,0.75,15.0
batik_jlamprang,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
batik_kawung,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
batik_liong,1.0,0.9333333333333333,0.9655172413793104,15.0
batik_mega_mendung,1.0,1.0,1.0,15.0
batik_parang,1.0,1.0,1.0,15.0
batik_sekarjagad,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
batik_sidoluhur,0.8333333333333334,1.0,0.9090909090909091,15.0
batik_sidomukti,1.0,0.9333333333333333,0.9655172413793104,15.0
batik_sidomulyo,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
batik_singa_barong,0.9375,1.0,0.967741935483871,15.0
batik_srikaton,1.0,1.0,1.0,15.0
batik_tribusono,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
batik_tujuh_rupa,1.0,1.0,1.0,15.0
batik_tuntrum,1.0,1.0,1.0,15.0
batik_wahyu_tumurun,1.0,1.0,1.0,15.0
batik_wirasat,1.0,1.0,1.0,15.0
accuracy,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667
macro avg,0.951280345471522,0.9466666666666667,0.9452348779788992,300.0
weighted avg,0.951280345471522,0.9466666666666667,0.9452348779788992,300.0
