Epoch,Training Accuracy (%),Training Loss,Validation Accuracy (%),Validation Loss
1,97.80952334403992,0.07263147830963135,94.83333230018616,0.22733983397483826
2,98.00000190734863,0.06707115471363068,94.66666579246521,0.23837856948375702
3,98.28571677207947,0.05680009722709656,94.49999928474426,0.2367914617061615
4,98.28571677207947,0.052453409880399704,95.333331823349,0.2120475172996521
5,98.4761893749237,0.04682430252432823,94.83333230018616,0.22514235973358154
6,98.33333492279053,0.051231492310762405,95.16666531562805,0.22377197444438934
7,98.28571677207947,0.05011807382106781,95.16666531562805,0.2244342863559723
8,98.76190423965454,0.042278822511434555,95.49999833106995,0.21432794630527496
9,99.1428554058075,0.03068988211452961,95.6666648387909,0.21020321547985077
10,98.9047646522522,0.03944522142410278,95.6666648387909,0.208708256483078
11,98.9047646522522,0.03802698105573654,95.333331823349,0.2101387083530426
12,98.8095223903656,0.0368308424949646,95.333331823349,0.21274977922439575
13,99.04761910438538,0.02910260111093521,95.333331823349,0.214140847325325
14,99.00000095367432,0.03372294455766678,95.6666648387909,0.2128475308418274
15,99.09523725509644,0.03281687572598457,95.49999833106995,0.2109372615814209
